Episode 306/20000 => steps=122, reward=22856.726, coverage=81/81 (100.0%)
Episode 307/20000 => steps=360, reward=65943.080, coverage=81/81 (100.0%)
Episode 308/20000 => steps=17, reward=3376.347, coverage=81/81 (100.0%)
Episode 309/20000 => steps=728, reward=129730.782, coverage=81/81 (100.0%)
Episode 310/20000 => steps=174, reward=32054.810, coverage=81/81 (100.0%)
Episode 311/20000 => steps=83, reward=15252.654, coverage=81/81 (100.0%)
Episode 312/20000 => steps=273, reward=48956.832, coverage=81/81 (100.0%)
Episode 313/20000 => steps=38, reward=6722.729, coverage=81/81 (100.0%)
Episode 314/20000 => steps=155, reward=27666.419, coverage=81/81 (100.0%)
Episode 315/20000 => steps=75, reward=13789.053, coverage=81/81 (100.0%)
Episode 316/20000 => steps=23, reward=4211.040, coverage=81/81 (100.0%)
Episode 317/20000 => steps=207, reward=37386.267, coverage=81/81 (100.0%)
Episode 318/20000 => steps=26, reward=5249.143, coverage=81/81 (100.0%)
Episode 319/20000 => steps=48, reward=9051.898, coverage=81/81 (100.0%)
Episode 320/20000 => steps=242, reward=42835.345, coverage=81/81 (100.0%)
Episode 321/20000 => steps=22, reward=3991.075, coverage=81/81 (100.0%)
Episode 322/20000 => steps=19, reward=3849.804, coverage=81/81 (100.0%)
Episode 323/20000 => steps=33, reward=6535.430, coverage=81/81 (100.0%)
Episode 324/20000 => steps=13, reward=2419.875, coverage=81/81 (100.0%)
Episode 325/20000 => steps=18, reward=3898.344, coverage=81/81 (100.0%)
Episode 326/20000 => steps=42, reward=7557.730, coverage=81/81 (100.0%)
Episode 327/20000 => steps=50, reward=9274.375, coverage=81/81 (100.0%)
Episode 328/20000 => steps=22, reward=4465.243, coverage=81/81 (100.0%)
Episode 329/20000 => steps=17, reward=3794.352, coverage=81/81 (100.0%)
Episode 330/20000 => steps=14, reward=3239.259, coverage=81/81 (100.0%)
Episode 331/20000 => steps=20, reward=3926.118, coverage=81/81 (100.0%)
Episode 332/20000 => steps=15, reward=3400.499, coverage=81/81 (100.0%)
Episode 333/20000 => steps=15, reward=3338.258, coverage=81/81 (100.0%)
Episode 334/20000 => steps=21, reward=3626.872, coverage=81/81 (100.0%)
Episode 335/20000 => steps=523, reward=92116.900, coverage=81/81 (100.0%)
Episode 336/20000 => steps=19, reward=3552.409, coverage=81/81 (100.0%)
Episode 337/20000 => steps=18, reward=3189.079, coverage=81/81 (100.0%)
Episode 338/20000 => steps=149, reward=27007.889, coverage=81/81 (100.0%)
Episode 339/20000 => steps=24, reward=4368.631, coverage=81/81 (100.0%)
Episode 340/20000 => steps=101, reward=18004.616, coverage=81/81 (100.0%)
Episode 341/20000 => steps=144, reward=26664.295, coverage=81/81 (100.0%)
Episode 342/20000 => steps=60, reward=10903.078, coverage=81/81 (100.0%)
Episode 343/20000 => steps=29, reward=4893.754, coverage=81/81 (100.0%)
Episode 344/20000 => steps=23, reward=4733.581, coverage=81/81 (100.0%)
Episode 345/20000 => steps=402, reward=70930.952, coverage=81/81 (100.0%)
Episode 346/20000 => steps=273, reward=50048.387, coverage=81/81 (100.0%)
Episode 347/20000 => steps=21, reward=4225.284, coverage=81/81 (100.0%)
Episode 348/20000 => steps=246, reward=45240.825, coverage=81/81 (100.0%)
Episode 349/20000 => steps=22, reward=4458.842, coverage=81/81 (100.0%)
Episode 350/20000 => steps=20, reward=4179.245, coverage=81/81 (100.0%)
Episode 351/20000 => steps=115, reward=21470.167, coverage=81/81 (100.0%)
Episode 352/20000 => steps=81, reward=15558.429, coverage=81/81 (100.0%)
Episode 353/20000 => steps=394, reward=69820.656, coverage=81/81 (100.0%)
Episode 354/20000 => steps=299, reward=54237.490, coverage=81/81 (100.0%)
Episode 355/20000 => steps=204, reward=34719.077, coverage=81/81 (100.0%)
Episode 356/20000 => steps=106, reward=19640.860, coverage=81/81 (100.0%)
Episode 357/20000 => steps=23, reward=4545.747, coverage=81/81 (100.0%)
Episode 358/20000 => steps=330, reward=60227.210, coverage=81/81 (100.0%)
Episode 359/20000 => steps=140, reward=26291.138, coverage=81/81 (100.0%)
Episode 360/20000 => steps=13, reward=2907.410, coverage=81/81 (100.0%)
Episode 361/20000 => steps=11, reward=2427.559, coverage=81/81 (100.0%)
Episode 362/20000 => steps=140, reward=24639.477, coverage=81/81 (100.0%)
Episode 363/20000 => steps=122, reward=22487.661, coverage=81/81 (100.0%)
Episode 364/20000 => steps=311, reward=56454.138, coverage=81/81 (100.0%)
Episode 365/20000 => steps=151, reward=28055.319, coverage=81/81 (100.0%)
Episode 366/20000 => steps=16, reward=3215.705, coverage=81/81 (100.0%)
Episode 367/20000 => steps=202, reward=37168.611, coverage=81/81 (100.0%)
Episode 368/20000 => steps=113, reward=20845.276, coverage=81/81 (100.0%)
